Unnamed: 0,지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,기본주소,상세주소,지하철역X좌표,지하철역Y좌표
611,1002000239,홍대입구,1002,2호선,1002000238,1002000240,서울특별시 마포구 동교동,165,193256.5814,450833.9092
612,1002000240,신촌,1002,2호선,1002000239,1002000241,서울특별시 마포구 노고산동,31-11,194421.7,450639.3
613,1002000241,이대,1002,2호선,1002000240,1002000242,서울특별시 마포구 대흥동,2,195220.4,450806.3
614,1002000242,아현,1002,2호선,1002000241,1002000243,서울특별시 마포구 아현2동,329,196130.3,450877.3
615,1002000243,충정로,1002,2호선,1002000242,1002000201,서울특별시 서대문구 충정로,3가 295-60,196862.7786,451159.0734
616,1002002111,용답,1002,2호선,1002000211,1002002112,서울특별시 성동구 용답동,127,204483.9021,451399.882
617,1002002112,신답,1002,2호선,1002002111,1002002113,서울특별시 도봉구 창1동,659-12,204134.7682,452282.7078
618,1002002113,용두,1002,2호선,1002002112,1002002114,서울특별시 동대문구 용두동,47-1,203358.6701,452723.9583
619,1002002114,신설동,1002,2호선,1002002113,1002002114,서울특별시 동대문구 신설동,97-75,202204.6318,452812.3126
620,1002002341,도림천,1002,2호선,1002000234,1002002342,서울특별시 구로구 신도림동,271-62,189654.9543,446104.9157
621,1002002342,양천구청,1002,2호선,1002002341,1002002343,서울특별시 양천구 신정7동,165-1,188137.1,445920.8
622,1002002343,신정네거리,1002,2호선,1002002342,1002002344,서울특별시 양천구 신정3동,1231,187002.7,446733.1
623,1002002344,까치산,1002,2호선,1002002343,1002002344,서울특별시 강서구 화곡1동,343,186479.9608,447995.0209
624,1003000310,대화,1003,3호선,1003000310,1003000311,경기도 고양시 일산서구 대화동,2221,177727.6003,464095.7432
625,1003000311,주엽,1003,3호선,1003000310,1003000312,경기도 고양시 일산구 주엽동,166,178939.5663,463428.1236
626,1003000312,정발산,1003,3호선,1003000311,1003000313,경기도 고양시 일산서구 주엽동,,179832.5881,462536.6226
627,1003000313,마두,1003,3호선,1003000312,1003000314,경기도 고양시 일산동구 마두동,765-1,180352.0254,461483.5306
628,1003000314,백석,1003,3호선,1003000313,1003000315,경기도 고양시 일산동구 백석동,629-1,181286.9741,460416.4677
629,1003000315,대곡,1003,3호선,1003000314,1003000316,경기도 고양시 덕양구 대장동,387-9,183213.8044,459188.9137
630,1003000316,화정,1003,3호선,1003000315,1003000317,경기도 고양시 덕양구 화정동,400-2,185236.5129,459473.0525
631,1003000317,원당,1003,3호선,1003000316,1003000309,경기도 고양시 성사1동,410-7,186134.165,461518.7706
632,1003000318,삼송,1003,3호선,1003000309,1003000319,경기도 고양시 덕양구 삼송동,20-14,190846.2139,461491.9021
633,1003000319,지축,1003,3호선,1003000318,1003000320,경기도 고양시 덕양구 지축동,695-8,192134.2786,461043.3022
634,1003000320,구파발,1003,3호선,1003000319,1003000321,서울특별시 은평구 진관동,533,192827.4343,459663.1573
635,1003000321,연신내,1003,3호선,1003000320,1003000322,서울특별시 은평구 갈현동,439,193039.9,457722.2
636,1003000322,불광,1003,3호선,1003000321,1003000323,서울특별시 은평구 불광1동,281,193846.9905,456704.054
637,1002000201,시청,1002,2호선,1002000243,1002000202,서울특별시 중구 서소문동,27,197826.7462,451573.9864
638,1002000202,을지로입구,1002,2호선,1002000201,1002000203,서울특별시 중구 을지로1가,89-1,198475.3,451833.1
639,1002000203,을지로3가,1002,2호선,1002000202,1002000204,서울특별시 중구 을지로3가,70-1,199176.7,451859.5
640,1002000204,을지로4가,1002,2호선,1002000203,1002000205,서울특별시 중구 을지로4가,261,199810.9298,451913.1812
641,1002000205,동대문역사문화공원,1002,2호선,1002000204,1002000206,서울특별시 중구 광희동,1가 194,200808.3968,451796.889
642,1002000206,신당,1002,2호선,1002000205,1002000207,서울특별시 중구 신당5동,106-1,201727.643,451803.4843
643,1002000207,상왕십리,1002,2호선,1002000206,1002000208,서울특별시 성동구 하왕십리2동,946-14,202564.8701,451668.8343
644,1002000208,왕십리,1002,2호선,1002000207,1002000209,서울특별시 성동구 행당동,246,203327.6,451299.7
